Multiplier,SSIM,Cost function
mul4394,0.9812186311148487,2746.5897323232007
mul4243,0.979252378347298,2749.0962159864007
mul9344,0.977776539196981,2746.5897323232007
mul4344,0.9773084101803112,2690.956150664401
mul2334,0.9761881202567194,2761.2014152896004
mul3394,0.9748950427409164,2758.6704471282005
mul4343,0.9727797123240172,2702.918957925601
mul3344,0.9713753441845172,2702.918957925601
mul3343,0.9639434893021724,2714.9046553836006
mul9999,0.9991737750064276,2904.453409176001
mul9973,0.9987170014250888,2919.4771911300004
mul9994,0.998659608674494,2847.2504955030013
mul9984,0.9985083159608203,2864.5966605024005
mul9944,0.9975882384717748,2790.609995016001
mul9844,0.99715179915012,2807.768774932201
mul9843,0.9970868651899762,2819.9923384860003
mul9934,0.9967090876694522,2802.785727168001
mul3949,0.9964584379720444,2802.785727168001
mul3944,0.9961751608791368,2746.5897323232007
mul3943,0.9955250123196254,2758.6704471282005
mul4994,0.9951852350925546,2790.609995016001
mul4944,0.9942514952037244,2734.531907715001
mul3934,0.993033110009162,2758.6704471282005
mul4934,0.9894234623141912,2746.5897323232007
mul9394,0.9880244308941154,2802.785727168001
mul9344,0.987642135942402,2746.5897323232007
mul3341,0.987424221597728,2771.2395529128003
mul3344,0.9865470829709416,2702.918957925601
mul3444,0.9859380237625344,2690.956150664401
mul4444,0.9846957496254284,2679.016233600001
mul4443,0.9844373079132724,2690.956150664401
mul4344,0.9835389074281188,2690.956150664401
mul4434,0.9810137643667516,2690.956150664401
mul4433,0.9805015228743336,2702.918957925601
mul4334,0.9782176440857364,2702.918957925601
mul4333,0.9778418342231424,2714.9046553836006
mul4134,0.9752972891204956,2759.1244938180007
mul1444,0.9708863436790918,2747.032324920001
mul2434,0.9697823594917844,2749.0962159864007
mul2944,0.9665101485067702,2793.143724417001
mul2444,0.9574724240440587,2737.013906880001
mul2424,0.95127082990186,2795.5804766400006
mul9992,0.996028146854066,2907.090599049001
mul9922,0.9951885054311208,2909.6308117440008
mul9999,0.995067513110238,2904.453409176001
mul4992,0.9947828528824664,2849.835955140001
mul3994,0.9942973372781612,2802.785727168001
mul4998,0.9940503649237884,2864.5966605024005
mul4999,0.9939843984036468,2847.2504955030013
mul4994,0.9934097207837498,2790.609995016001
mul4924,0.9930850979655874,2793.143724417001
mul3944,0.9925525539498322,2746.5897323232007
mul3943,0.9921010866572058,2758.6704471282005
mul3938,0.991697808528454,2832.2387922366
mul3844,0.9908998157370876,2763.6089585580003
mul3834,0.9906939055638676,2775.7375047648
mul4943,0.990049859260614,2746.5897323232007
mul4944,0.9894719141663516,2734.531907715001
mul4834,0.9876341769468512,2763.6089585580003
mul1943,0.9790468052628704,2815.4572970760005
mul4242,0.970783843091074,2795.5804766400006
mul4294,0.969639735717468,2793.143724417001
mul3244,0.968320829234766,2749.0962159864007
mul4244,0.9662688040632263,2737.013906880001
mul3434,0.9335523779614884,2702.918957925601
mul3444,0.930895917759686,2690.956150664401
mul4439,0.927650766082468,2746.5897323232007
mul4434,0.9262086194667876,2690.956150664401
mul3344,0.9252453812495932,2702.918957925601
mul4444,0.9236675127313128,2679.016233600001
mul4344,0.9198619806881028,2690.956150664401
mul1444,0.9101175028216126,2747.032324920001
mul4134,0.8837387613983088,2759.1244938180007
mul4144,0.8800012428025763,2747.032324920001
mul4193,0.8769305371068481,2815.4572970760005
mul9998,0.9988040173960572,2921.986959258601
mul9999,0.99873392980484,2904.453409176001
mul9994,0.998367168740005,2847.2504955030013
mul9949,0.9977253707310272,2847.2504955030013
mul9934,0.9975417591272444,2802.785727168001
mul9944,0.9971491005711256,2790.609995016001
mul9834,0.9967130343390466,2819.9923384860003
mul9844,0.9963217115781444,2807.768774932201
mul4999,0.9958707189404667,2847.2504955030013
mul4994,0.995151212102024,2790.609995016001
mul4949,0.9948544107168414,2790.609995016001
mul4944,0.99389839314684,2734.531907715001
mul4934,0.9932994341190612,2746.5897323232007
mul4834,0.9924066195242748,2763.6089585580003
mul9393,0.989703817962746,2814.9843495168006
mul9344,0.9886025994735234,2746.5897323232007
mul9333,0.9879822832866504,2770.7740521300007
mul4394,0.9872608209341636,2746.5897323232007
mul9434,0.9872002940343796,2746.5897323232007
mul4344,0.986052232667352,2690.956150664401
mul3344,0.9856848133302506,2702.918957925601
mul4334,0.9848046814933904,2702.918957925601
mul4444,0.9840049591200288,2679.016233600001
mul3432,0.9832373308901023,2761.2014152896004
mul4244,0.9820207190645563,2737.013906880001
mul4243,0.9814128554349586,2749.0962159864007
mul3244,0.9791923720371424,2749.0962159864007
mul4414,0.9781529861468076,2747.032324920001
mul2434,0.9767827823078876,2749.0962159864007
mul1444,0.9747511615191587,2747.032324920001
mul4144,0.973719662463166,2747.032324920001
mul2444,0.9689093394677136,2737.013906880001
mul2424,0.9652890021277768,2795.5804766400006
mul9999,0.9989928692819728,2904.453409176001
mul9998,0.9989564662412858,2921.986959258601
mul9994,0.998273366414596,2847.2504955030013
mul9993,0.9976634470563004,2859.544135198801
mul9923,0.997372124463302,2862.1540793340005
mul8993,0.9966779097536168,2876.9381316000004
mul4999,0.9960335133210132,2847.2504955030013
mul4993,0.995345678909579,2802.785727168001
mul4994,0.9948026482379492,2790.609995016001
mul9944,0.9943154518378712,2790.609995016001
mul3944,0.9935640855090966,2746.5897323232007
mul3943,0.9919371885070056,2758.6704471282005
mul4943,0.990981721663176,2746.5897323232007
mul4944,0.9891378477856178,2734.531907715001
mul3934,0.986099150321984,2758.6704471282005
mul4224,0.9846457067011188,2795.5804766400006
mul4939,0.9833476998232352,2802.785727168001
mul4934,0.9832680266242194,2746.5897323232007
mul4834,0.9824120029484932,2763.6089585580003
mul4933,0.9813474634419188,2758.6704471282005
mul4493,0.9802390921794556,2746.5897323232007
mul9443,0.9794627871270574,2746.5897323232007
mul4494,0.9786855582863644,2734.531907715001
mul3444,0.9768282622773388,2690.956150664401
mul3343,0.9747287291001788,2714.9046553836006
mul4343,0.9741535789593898,2702.918957925601
mul4444,0.9733796484743702,2679.016233600001
mul4344,0.9718690463361952,2690.956150664401
mul4434,0.9696208356705206,2690.956150664401
mul4433,0.9677736539030362,2702.918957925601
mul4144,0.9650261133951196,2747.032324920001
mul1444,0.948028997090004,2747.032324920001
mul1344,0.9462013020814848,2759.1244938180007
mul9992,0.9969965856533402,2907.090599049001
mul9999,0.995828606384435,2904.453409176001
mul9998,0.9957715782415748,2921.986959258601
mul4992,0.9949210395600072,2849.835955140001
mul9994,0.9947736457138856,2847.2504955030013
mul9993,0.994229180903854,2859.544135198801
mul3943,0.993724194094202,2758.6704471282005
mul3944,0.9934722208980964,2746.5897323232007
mul4999,0.9932330389147234,2847.2504955030013
mul3942,0.9928701645248216,2805.343941067201
mul9944,0.9924968444492558,2790.609995016001
mul3844,0.9919789595092964,2763.6089585580003
mul3893,0.9915724439772908,2832.2387922366
mul4924,0.9906917556112091,2793.143724417001
mul4943,0.9899413777378896,2746.5897323232007
mul4944,0.987708894161195,2734.531907715001
mul9394,0.9835688424522308,2802.785727168001
mul3394,0.9821692362413692,2758.6704471282005
mul4394,0.980985081401845,2746.5897323232007
mul3344,0.98003855804845,2702.918957925601
mul3343,0.9796485694604242,2714.9046553836006
mul3443,0.9780089850251126,2702.918957925601
mul3444,0.976848066666514,2690.956150664401
mul4343,0.976768744774286,2702.918957925601
mul4344,0.9754240418631892,2690.956150664401
mul9444,0.9743035147195952,2734.531907715001
mul4444,0.9695584401905863,2679.016233600001
mul4441,0.9680596602335172,2747.032324920001
mul3143,0.9643368471775748,2771.2395529128003
mul3144,0.9632560909510268,2759.1244938180007
mul4143,0.9593429866333764,2759.1244938180007
mul4144,0.956644863510535,2747.032324920001
mul1444,0.9452954714784172,2747.032324920001
mul9999,0.9983545394913556,2904.453409176001
mul9989,0.9983124510638852,2921.986959258601
mul9929,0.997236478482162,2907.090599049001
mul9992,0.9963300842915278,2907.090599049001
mul9994,0.9950642385883716,2847.2504955030013
mul9949,0.9948836906630926,2847.2504955030013
mul2934,0.9937843737786712,2805.343941067201
mul3999,0.9937520824925908,2859.544135198801
mul9924,0.9929570937521942,2849.835955140001
mul2943,0.9919522261892628,2805.343941067201
mul2944,0.9918754282060028,2793.143724417001
mul4948,0.9910558921676106,2807.768774932201
mul4949,0.9904759507698012,2790.609995016001
mul4994,0.989069028714326,2790.609995016001
mul9944,0.987300285922019,2790.609995016001
mul4944,0.9832060801729188,2734.531907715001
mul4934,0.9784888945372572,2746.5897323232007
mul4834,0.9752187536601272,2763.6089585580003
mul4294,0.9733519808971132,2793.143724417001
mul3834,0.9716112645393332,2775.7375047648
mul4244,0.9706740063531528,2737.013906880001
mul4234,0.9692493398054038,2749.0962159864007
mul2434,0.9662344260684876,2749.0962159864007
mul3244,0.964920838225344,2749.0962159864007
mul3394,0.963634968144877,2758.6704471282005
mul4394,0.9607792540677724,2746.5897323232007
mul4344,0.9561430800931258,2690.956150664401
mul4334,0.9529401284214,2702.918957925601
