Multiplier,SSIM,Cost function
mul4493,0.9177750534014326,2746.5897323232007
mul4344,0.8919520820130167,2690.956150664401
mul4134,0.847962147572681,2759.1244938180007
mul1194,0.8326716980119258,2872.8143050734006
mul8993,0.9980212672058884,2876.9381316000004
mul9994,0.997713124153656,2847.2504955030013
mul9944,0.9972563564513468,2790.609995016001
mul4942,0.9950023424323832,2793.143724417001
mul4943,0.9938906543617896,2746.5897323232007
mul4944,0.992684082469272,2734.531907715001
mul3943,0.991164858776949,2758.6704471282005
mul9344,0.9833230225847108,2746.5897323232007
mul4394,0.982541043585339,2746.5897323232007
mul4344,0.9799109316159572,2690.956150664401
mul3444,0.9678638534209072,2690.956150664401
mul4444,0.962714892240077,2679.016233600001
mul4144,0.9052223768694873,2747.032324920001
mul1144,0.8972167691546302,2815.9001877600003
mul9999,0.9955811432201532,2904.453409176001
mul9994,0.990071367123288,2847.2504955030013
mul4999,0.9866774048735842,2847.2504955030013
mul2943,0.9836219838403044,2805.343941067201
mul4994,0.9827700131066271,2790.609995016001
mul4943,0.9734401289156276,2746.5897323232007
mul4944,0.97244999947601,2734.531907715001
mul3844,0.9616163662955004,2763.6089585580003
mul4449,0.9289579007584288,2734.531907715001
mul4444,0.9209598009985,2679.016233600001
mul3434,0.9154524506955594,2702.918957925601
mul4242,0.88046214730633,2795.5804766400006
mul4244,0.8662392871239767,2737.013906880001
mul4233,0.8424231762038459,2761.2014152896004
mul9993,0.997805292418171,2859.544135198801
mul4993,0.9950721899932404,2802.785727168001
mul3994,0.9936432268413526,2802.785727168001
mul3944,0.991172610005246,2746.5897323232007
mul3844,0.989895424775478,2763.6089585580003
mul4943,0.9843615727925428,2746.5897323232007
mul4944,0.9759990658165922,2734.531907715001
mul3443,0.9710272525501508,2702.918957925601
mul3444,0.9649695238566082,2690.956150664401
mul4443,0.9615818840088056,2690.956150664401
mul4444,0.9505913940309024,2679.016233600001
mul1944,0.9433698319349932,2803.247220634201
mul4441,0.9393244897869606,2747.032324920001
mul1441,0.9135403100462892,2815.9001877600003
mul9999,0.9983781280835464,2904.453409176001
mul9993,0.9978094262409138,2859.544135198801
mul9994,0.9967228851807256,2847.2504955030013
mul4993,0.996117669411234,2802.785727168001
mul4994,0.9949296175272744,2790.609995016001
mul4943,0.9938903460266776,2746.5897323232007
mul4944,0.9922900446899836,2734.531907715001
mul4294,0.9855178876896326,2793.143724417001
mul4244,0.9835504962058804,2737.013906880001
mul4344,0.9802661538065802,2690.956150664401
mul4343,0.9752048815002043,2702.918957925601
mul4443,0.9717401473415668,2690.956150664401
mul4444,0.9603055143504312,2679.016233600001
mul4441,0.9529714209605762,2747.032324920001
mul9993,0.9985096141002144,2859.544135198801
mul3924,0.9977302471723796,2805.343941067201
mul9934,0.9973448981586008,2802.785727168001
mul3944,0.99668426751112,2746.5897323232007
mul4934,0.994772767143237,2746.5897323232007
mul4944,0.99437784997972,2734.531907715001
mul3394,0.987890761849579,2758.6704471282005
mul3344,0.987520101862358,2702.918957925601
mul4244,0.9868014711277572,2737.013906880001
mul3444,0.9843890518255712,2690.956150664401
mul4444,0.9813100076195516,2679.016233600001
mul4414,0.9772964298752618,2747.032324920001
mul2444,0.9672059762182884,2737.013906880001
mul2144,0.9530246629991224,2805.7512939840008
mul4993,0.9982066702162952,2802.785727168001
mul3949,0.9972553980038172,2802.785727168001
mul4943,0.9965447346185822,2746.5897323232007
mul4933,0.996350539785634,2758.6704471282005
mul4843,0.994759307503389,2763.6089585580003
mul3944,0.9934020576571988,2746.5897323232007
mul4944,0.9904873845614486,2734.531907715001
mul4344,0.9779199028184592,2690.956150664401
mul3443,0.9721518378739648,2702.918957925601
mul4443,0.9682335792234884,2690.956150664401
mul4444,0.9640316178473388,2679.016233600001
mul4414,0.9589856133628992,2747.032324920001
mul4144,0.9461088815955808,2747.032324920001
mul4141,0.9349948608796146,2815.9001877600003
mul9994,0.9980304033248454,2847.2504955030013
mul4999,0.9969221396391796,2847.2504955030013
mul4994,0.9961487353030308,2790.609995016001
mul9944,0.9941348959675718,2790.609995016001
mul4944,0.9913752813019902,2734.531907715001
mul4844,0.9867871283093688,2751.5033025480006
mul4934,0.9861489333378578,2746.5897323232007
mul4833,0.9784205244703832,2775.7375047648
mul4449,0.9741466322747628,2734.531907715001
mul4444,0.9717730350664512,2679.016233600001
mul3444,0.9693298527764376,2690.956150664401
mul4344,0.9646228041395872,2690.956150664401
mul4144,0.9241866341429804,2747.032324920001
mul4114,0.8957618858801083,2815.9001877600003
mul9999,0.9993680936616708,2904.453409176001
mul9994,0.9988998741753548,2847.2504955030013
mul4993,0.997489790384359,2802.785727168001
mul3944,0.9959030551882344,2746.5897323232007
mul3934,0.9955567993464656,2758.6704471282005
mul3834,0.9941352432604322,2775.7375047648
mul3343,0.9909738534550931,2714.9046553836006
mul3344,0.9907549277514722,2702.918957925601
mul3444,0.9859908905063832,2690.956150664401
mul4443,0.9826426138565152,2690.956150664401
mul4444,0.9788468215366112,2679.016233600001
mul1443,0.9612625150986196,2759.1244938180007
mul4244,0.9501275361396264,2737.013906880001
mul1244,0.9287262221679908,2805.7512939840008
mul9993,0.9980996101518272,2859.544135198801
mul3984,0.997759625558584,2819.9923384860003
mul9944,0.9974377537828252,2790.609995016001
mul4944,0.99680322846727,2734.531907715001
mul3944,0.9967803348801212,2746.5897323232007
mul4849,0.9946154072284294,2807.768774932201
mul4844,0.9939826292820064,2751.5033025480006
mul4442,0.9836600432401852,2737.013906880001
mul4244,0.982911059480006,2737.013906880001
mul4444,0.9785508097827098,2679.016233600001
mul4344,0.9574146524385604,2690.956150664401
mul4334,0.9553924324704012,2702.918957925601
mul4144,0.9179658691828672,2747.032324920001
mul1144,0.9021687772312555,2815.9001877600003
mul9999,0.9976810476562948,2904.453409176001
mul9994,0.9945044564092996,2847.2504955030013
mul4994,0.9915458233842116,2790.609995016001
mul3943,0.9864221275537736,2758.6704471282005
mul3944,0.983660302551318,2746.5897323232007
mul4944,0.979330664341492,2734.531907715001
mul4844,0.9721500343574732,2751.5033025480006
mul3449,0.955689263060081,2746.5897323232007
mul3444,0.9503981635957794,2690.956150664401
mul4444,0.943556110771957,2679.016233600001
